Hostname,Label,Vod,Live,Situação
gca-click-mgaax001,edge-click-aax-mg,vod-01.edge-click-aax-mg.video.globo.com,live-01.edge-click-aax-mg.video.globo.com,Produção
gca-corp-mgppy001,edge-corp-ppy-mg,vod-01.edge-corp-ppy-mg.video.globo.com,live-01.edge-corp-ppy-mg.video.globo.com,Produção
gca-america-spppb001,edge-america-ppb-sp,vod-01.edge-america-ppb-sp.video.globo.com,live-01.edge-america-ppb-sp.video.globo.com,Produção
gca-america-sparu001,edge-america-aru-sp,vod-01.edge-america-aru-sp.video.globo.com,live-01.edge-america-aru-sp.video.globo.com,Produção
gca-dmznet-mgudi001,edge-dmznet-udi-mg,vod-01.edge-dmznet-udi-mg.video.globo.com,live-01.edge-dmznet-udi-mg.video.globo.com,Desativado
gca-sea-patur001,edge-sea-tur-pa,vod-01.edge-sea-tur-pa.video.globo.com,live-01.edge-sea-tur-pa.video.globo.com,Produção
gca-connect-cefor001,edge-connect-for-ce,vod-01.edge-connect-for-ce.video.globo.com,live-01.edge-connect-for-ce.video.globo.com,Produção
gca-iwnet-spcgh001,edge-iwnet-cgh-sp,vod-01.edge-iwnet-cgh-sp.video.globo.com,live-01.edge-iwnet-cgh-sp.video.globo.com,Produção
gca-turbo-bafec001-old,edge-turbo-fec-ba,vod-01.edge-turbo-fec-ba.video.globo.com,live-01.edge-turbo-fec-ba.video.globo.com,Desativado
gca-explorer-goaps001,edge-explorer-aps-go,vod-01.edge-explorer-aps-go.video.globo.com,live-01.edge-explorer-aps-go.video.globo.com,Produção
gca-voce-apmcp001,edge-voce-mcp-ap,vod-01.edge-voce-mcp-ap.video.globo.com,live-01.edge-voce-mcp-ap.video.globo.com,Produção
gca-voce-pagop001,edge-voce-gop-pa,vod-01.edge-voce-gop-pa.video.globo.com,live-01.edge-voce-gop-pa.video.globo.com,Produção
gca-oi-bel001,edge-oi-bel-pa,vod-01.edge-oi-bel-pa.video.globo.com,live-01.edge-oi-bel-pa.video.globo.com,Produção
gca-oi-maslz001,edge-oi-cto-ma,vod-01.edge-oi-cto-ma.video.globo.com,live-01.edge-oi-cto-ma.video.globo.com,Produção
gca-oi-pamia001,edge-oi-mia-pa,vod-01.edge-oi-mia-pa.video.globo.com,live-01.edge-oi-mia-pa.video.globo.com,Produção
gca-oi-ammao001,edge-oi-maoce-am,vod-01.edge-oi-maoce-am.video.globo.com,live-01.edge-oi-maoce-am.video.globo.com,Produção
gca-oi-ampar001,edge-oi-maopar-am,vod-01.edge-oi-maopar-am.video.globo.com,live-01.edge-oi-maopar-am.video.globo.com,Produção
gca-oi-acrbr001,edge-oi-rbr-ac,vod-01.edge-oi-rbr-ac.video.globo.com,live-01.edge-oi-rbr-ac.video.globo.com,Produção
gca-oi-maanl001,edge-oi-anl-ma,vod-01.edge-oi-anl-ma.video.globo.com,live-01.edge-oi-anl-ma.video.globo.com,Produção
gca-oi-rec001,edge-oi-ebvt-pe,vod-01.edge-oi-ebvt-pe.video.globo.com,live-01.edge-oi-ebvt-pe.video.globo.com,Produção
gca-lideri-peola001,edge-lideri-ola-pe,vod-01.edge-lideri-ola-pe.video.globo.com,live-01.edge-lideri-ola-pe.video.globo.com,Produção
gca-net-apmcp001,edge-claro-mcp-ap,vod-01.edge-claro-mcp-ap.video.globo.com,live-01.edge-claro-mcp-ap.video.globo.com,Produção
gca-forte-rjcaw001,edge-forte-caw-rj,vod-01.edge-forte-caw-rj.video.globo.com,live-01.edge-forte-caw-rj.video.globo.com,Produção
gca-oops-alapq001,edge-oops-apq-al,vod-01.edge-oops-apq-al.video.globo.com,live-01.edge-oops-apq-al.video.globo.com,Produção
gca-net-spqdv001,edge-claro-qdv-sp,vod-01.edge-claro-qdv-sp.video.globo.com,live-01.edge-claro-qdv-sp.video.globo.com,Produção
gca-net-spmcs001,edge-claro-mcs-sp,vod-01.edge-claro-mcs-sp.video.globo.com,live-01.edge-claro-mcs-sp.video.globo.com,Produção
gca-net-scbnu001,edge-claro-bnu-sc,vod-01.edge-claro-bnu-sc.video.globo.com,live-01.edge-claro-bnu-sc.video.globo.com,Produção
gca-net-scjoi001,edge-claro-joi-sc,vod-01.edge-claro-joi-sc.video.globo.com,live-01.edge-claro-joi-sc.video.globo.com,Produção
gca-net-prldb001,edge-claro-ldb-pr,vod-01.edge-claro-ldb-pr.video.globo.com,live-01.edge-claro-ldb-pr.video.globo.com,Produção
gca-net-almcz001,edge-claro-mcz-al,vod-01.edge-claro-mcz-al.video.globo.com,live-01.edge-claro-mcz-al.video.globo.com,Produção
